Event,Date,Company Name,Ticker,Market,Industry
US implemented universal tariffs on solar panel and washing machines imports,2/7/2018,DowDuPont Inc.,DWDP,NYSE,Basic Materials (Chemicals)
,,3M Co.,MMM,NYSE,Business/Consumer Services
,,International Business Machines Corp.,IBM,NYSE,Business/Consumer Services
,,Exxon Mobil Corp.,XOM,NYSE,Energy
,,Chevron Corp.,CVX,NYSE,Energy
,,Procter & Gamble Co.,PG,NYSE,Consumer Goods
,,Nike Inc. Cl B,NKE,NYSE,Consumer Goods
,,Coca-Cola Co.,KO,NYSE,Consumer Goods
,,American Express Co.,AXP,NYSE,Financial Services
,,VISA Inc. Cl A,V,NYSE,Financial Services
,,Goldman Sachs Group Inc.,GS,NYSE,Financial Services
,,UnitedHealth Group Inc.,UNH,NYSE,Financial Services
,,JPMorgan Chase & Co.,JPM,NYSE,Financial Services
,,Travelers Cos. Inc.,TRV,NYSE,Financial Services
,,Johnson & Johnson,JNJ,NYSE,Health Care/Life Sciences
,,Merck & Co. Inc.,MRK,NYSE,Health Care/Life Sciences
,,Pfizer Inc.,PFE,NYSE,Health Care/Life Sciences
,,United Technologies Corp.,UTX,NYSE,Industrial Goods
,,Caterpillar Inc.,CAT,NYSE,Industrial Goods
,,Boeing Co.,BA,NYSE,Industrial Goods
,,McDonald's Corp.,MCD,NYSE,Leisure/Arts/Hospitality
,,Walt Disney Co.,DIS,NYSE,Media/Entertainment
,,Home Depot Inc.,HD,NYSE,Retail/Wholesale
,,Walgreens Boots Alliance Inc.,WBA,NASDAQ,Retail/Wholesale
,,Walmart Inc.,WMT,NYSE,Retail/Wholesale
,,Intel Corp.,INTC,NYSE,Techonology
,,Microsoft Corp.,MSFT,NASDAQ,Technology
,,Cisco Systems Inc.,CSCO,NASDAQ,Technology
,,Apple Inc.,AAPL,NASDAQ,Technology
,,Verizon Communications Inc.,VZ,NYSE,Telecom
,,New Oriental Education & Technology Group Inc. ADR,EDU,NYSE,Business/Consumer Services
,,China Petroleum & Chemical Corp. ADR,SNP,NYSE,Energy
,,PetroChina Co. Ltd. ADR,PTR,NYSE,Energy
,,China Life Insurance Co. Ltd. ADR,LFC,NYSE,Financial Services
,,Phoenix New Media Ltd. Cl A ADR,FENG,NYSE,Media/Entertainment
,,Alibaba Group Holding Ltd. ADR,BABA,NYSE,Retail/Wholesale
,,Baidu Inc. ADR,BIDU,NASDAQ,Technology
,,Weibo Corp. ADR,WB,NASDAQ,Technology
,,China Telecom Corp. Ltd. ADR,CHA,NYSE,Telecom
,,China Southern Airlines Co. Ltd. ADR,ZNH,NYSE,Transportation/Logistics
"Trump signed memo to: 1. file a WTO case against China, 2. restrict Chinese investment in tech, 3. to impose tariff on aerospace, info technology and machinery",3/22/2018,DowDuPont Inc.,DWDP,NYSE,Basic Materials (Chemicals)
,,3M Co.,MMM,NYSE,Business/Consumer Services
,,International Business Machines Corp.,IBM,NYSE,Business/Consumer Services
,,Exxon Mobil Corp.,XOM,NYSE,Energy
,,Chevron Corp.,CVX,NYSE,Energy
,,Procter & Gamble Co.,PG,NYSE,Consumer Goods
,,Nike Inc. Cl B,NKE,NYSE,Consumer Goods
,,Coca-Cola Co.,KO,NYSE,Consumer Goods
,,American Express Co.,AXP,NYSE,Financial Services
,,VISA Inc. Cl A,V,NYSE,Financial Services
,,Goldman Sachs Group Inc.,GS,NYSE,Financial Services
,,UnitedHealth Group Inc.,UNH,NYSE,Financial Services
,,JPMorgan Chase & Co.,JPM,NYSE,Financial Services
,,Travelers Cos. Inc.,TRV,NYSE,Financial Services
,,Johnson & Johnson,JNJ,NYSE,Health Care/Life Sciences
,,Merck & Co. Inc.,MRK,NYSE,Health Care/Life Sciences
,,Pfizer Inc.,PFE,NYSE,Health Care/Life Sciences
,,United Technologies Corp.,UTX,NYSE,Industrial Goods
,,Caterpillar Inc.,CAT,NYSE,Industrial Goods
,,Boeing Co.,BA,NYSE,Industrial Goods
,,McDonald's Corp.,MCD,NYSE,Leisure/Arts/Hospitality
,,Walt Disney Co.,DIS,NYSE,Media/Entertainment
,,Home Depot Inc.,HD,NYSE,Retail/Wholesale
,,Walgreens Boots Alliance Inc.,WBA,NASDAQ,Retail/Wholesale
,,Walmart Inc.,WMT,NYSE,Retail/Wholesale
,,Intel Corp.,INTC,NYSE,Techonology
,,Microsoft Corp.,MSFT,NASDAQ,Technology
,,Cisco Systems Inc.,CSCO,NASDAQ,Technology
,,Apple Inc.,AAPL,NASDAQ,Technology
,,Verizon Communications Inc.,VZ,NYSE,Telecom
,,New Oriental Education & Technology Group Inc. ADR,EDU,NYSE,Business/Consumer Services
,,China Petroleum & Chemical Corp. ADR,SNP,NYSE,Energy
,,PetroChina Co. Ltd. ADR,PTR,NYSE,Energy
,,China Life Insurance Co. Ltd. ADR,LFC,NYSE,Financial Services
,,Phoenix New Media Ltd. Cl A ADR,FENG,NYSE,Media/Entertainment
,,Alibaba Group Holding Ltd. ADR,BABA,NYSE,Retail/Wholesale
,,Baidu Inc. ADR,BIDU,NASDAQ,Technology
,,Weibo Corp. ADR,WB,NASDAQ,Technology
,,China Telecom Corp. Ltd. ADR,CHA,NYSE,Telecom
,,China Southern Airlines Co. Ltd. ADR,ZNH,NYSE,Transportation/Logistics
US imposed 25% tariff on steel imports and 10% tariff on alumnimum imports,3/23/2018,DowDuPont Inc.,DWDP,NYSE,Basic Materials (Chemicals)
,,3M Co.,MMM,NYSE,Business/Consumer Services
,,International Business Machines Corp.,IBM,NYSE,Business/Consumer Services
,,Exxon Mobil Corp.,XOM,NYSE,Energy
,,Chevron Corp.,CVX,NYSE,Energy
,,Procter & Gamble Co.,PG,NYSE,Consumer Goods
,,Nike Inc. Cl B,NKE,NYSE,Consumer Goods
,,Coca-Cola Co.,KO,NYSE,Consumer Goods
,,American Express Co.,AXP,NYSE,Financial Services
,,VISA Inc. Cl A,V,NYSE,Financial Services
,,Goldman Sachs Group Inc.,GS,NYSE,Financial Services
,,UnitedHealth Group Inc.,UNH,NYSE,Financial Services
,,JPMorgan Chase & Co.,JPM,NYSE,Financial Services
,,Travelers Cos. Inc.,TRV,NYSE,Financial Services
,,Johnson & Johnson,JNJ,NYSE,Health Care/Life Sciences
,,Merck & Co. Inc.,MRK,NYSE,Health Care/Life Sciences
,,Pfizer Inc.,PFE,NYSE,Health Care/Life Sciences
,,United Technologies Corp.,UTX,NYSE,Industrial Goods
,,Caterpillar Inc.,CAT,NYSE,Industrial Goods
,,Boeing Co.,BA,NYSE,Industrial Goods
,,McDonald's Corp.,MCD,NYSE,Leisure/Arts/Hospitality
,,Walt Disney Co.,DIS,NYSE,Media/Entertainment
,,Home Depot Inc.,HD,NYSE,Retail/Wholesale
,,Walgreens Boots Alliance Inc.,WBA,NASDAQ,Retail/Wholesale
,,Walmart Inc.,WMT,NYSE,Retail/Wholesale
,,Intel Corp.,INTC,NYSE,Techonology
,,Microsoft Corp.,MSFT,NASDAQ,Technology
,,Cisco Systems Inc.,CSCO,NASDAQ,Technology
,,Apple Inc.,AAPL,NASDAQ,Technology
,,Verizon Communications Inc.,VZ,NYSE,Telecom
,,New Oriental Education & Technology Group Inc. ADR,EDU,NYSE,Business/Consumer Services
,,China Petroleum & Chemical Corp. ADR,SNP,NYSE,Energy
,,PetroChina Co. Ltd. ADR,PTR,NYSE,Energy
,,China Life Insurance Co. Ltd. ADR,LFC,NYSE,Financial Services
,,Phoenix New Media Ltd. Cl A ADR,FENG,NYSE,Media/Entertainment
,,Alibaba Group Holding Ltd. ADR,BABA,NYSE,Retail/Wholesale
,,Baidu Inc. ADR,BIDU,NASDAQ,Technology
,,Weibo Corp. ADR,WB,NASDAQ,Technology
,,China Telecom Corp. Ltd. ADR,CHA,NYSE,Telecom
,,China Southern Airlines Co. Ltd. ADR,ZNH,NYSE,Transportation/Logistics
"China imposed 15-25% tariff on 128 products ($3b) mainly fruit, wine, pork, etc to retaliate ",4/2/2018,DowDuPont Inc.,DWDP,NYSE,Basic Materials (Chemicals)
,,3M Co.,MMM,NYSE,Business/Consumer Services
,,International Business Machines Corp.,IBM,NYSE,Business/Consumer Services
,,Exxon Mobil Corp.,XOM,NYSE,Energy
,,Chevron Corp.,CVX,NYSE,Energy
,,Procter & Gamble Co.,PG,NYSE,Consumer Goods
,,Nike Inc. Cl B,NKE,NYSE,Consumer Goods
,,Coca-Cola Co.,KO,NYSE,Consumer Goods
,,American Express Co.,AXP,NYSE,Financial Services
,,VISA Inc. Cl A,V,NYSE,Financial Services
,,Goldman Sachs Group Inc.,GS,NYSE,Financial Services
,,UnitedHealth Group Inc.,UNH,NYSE,Financial Services
,,JPMorgan Chase & Co.,JPM,NYSE,Financial Services
,,Travelers Cos. Inc.,TRV,NYSE,Financial Services
,,Johnson & Johnson,JNJ,NYSE,Health Care/Life Sciences
,,Merck & Co. Inc.,MRK,NYSE,Health Care/Life Sciences
,,Pfizer Inc.,PFE,NYSE,Health Care/Life Sciences
,,United Technologies Corp.,UTX,NYSE,Industrial Goods
,,Caterpillar Inc.,CAT,NYSE,Industrial Goods
,,Boeing Co.,BA,NYSE,Industrial Goods
,,McDonald's Corp.,MCD,NYSE,Leisure/Arts/Hospitality
,,Walt Disney Co.,DIS,NYSE,Media/Entertainment
,,Home Depot Inc.,HD,NYSE,Retail/Wholesale
,,Walgreens Boots Alliance Inc.,WBA,NASDAQ,Retail/Wholesale
,,Walmart Inc.,WMT,NYSE,Retail/Wholesale
,,Intel Corp.,INTC,NYSE,Techonology
,,Microsoft Corp.,MSFT,NASDAQ,Technology
,,Cisco Systems Inc.,CSCO,NASDAQ,Technology
,,Apple Inc.,AAPL,NASDAQ,Technology
,,Verizon Communications Inc.,VZ,NYSE,Telecom
,,New Oriental Education & Technology Group Inc. ADR,EDU,NYSE,Business/Consumer Services
,,China Petroleum & Chemical Corp. ADR,SNP,NYSE,Energy
,,PetroChina Co. Ltd. ADR,PTR,NYSE,Energy
,,China Life Insurance Co. Ltd. ADR,LFC,NYSE,Financial Services
,,Phoenix New Media Ltd. Cl A ADR,FENG,NYSE,Media/Entertainment
,,Alibaba Group Holding Ltd. ADR,BABA,NYSE,Retail/Wholesale
,,Baidu Inc. ADR,BIDU,NASDAQ,Technology
,,Weibo Corp. ADR,WB,NASDAQ,Technology
,,China Telecom Corp. Ltd. ADR,CHA,NYSE,Telecom
,,China Southern Airlines Co. Ltd. ADR,ZNH,NYSE,Transportation/Logistics
"USTR (trade rep) released a list of 1,334 products ($50b) subject to 25% tariff",4/3/2018,DowDuPont Inc.,DWDP,NYSE,Basic Materials (Chemicals)
,,3M Co.,MMM,NYSE,Business/Consumer Services
,,International Business Machines Corp.,IBM,NYSE,Business/Consumer Services
,,Exxon Mobil Corp.,XOM,NYSE,Energy
,,Chevron Corp.,CVX,NYSE,Energy
,,Procter & Gamble Co.,PG,NYSE,Consumer Goods
,,Nike Inc. Cl B,NKE,NYSE,Consumer Goods
,,Coca-Cola Co.,KO,NYSE,Consumer Goods
,,American Express Co.,AXP,NYSE,Financial Services
,,VISA Inc. Cl A,V,NYSE,Financial Services
,,Goldman Sachs Group Inc.,GS,NYSE,Financial Services
,,UnitedHealth Group Inc.,UNH,NYSE,Financial Services
,,JPMorgan Chase & Co.,JPM,NYSE,Financial Services
,,Travelers Cos. Inc.,TRV,NYSE,Financial Services
,,Johnson & Johnson,JNJ,NYSE,Health Care/Life Sciences
,,Merck & Co. Inc.,MRK,NYSE,Health Care/Life Sciences
,,Pfizer Inc.,PFE,NYSE,Health Care/Life Sciences
