Event,Year,Month,Day,Company Name,Ticker,Market,Industry,Country
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,DowDuPont Inc.,DWDP,^DJI,Basic Materials (Chemicals),U.S.
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,3M Co.,MMM,^DJI,Business/Consumer Services,U.S.
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,International Business Machines Corp.,IBM,^DJI,Business/Consumer Services,U.S.
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,Exxon Mobil Corp.,XOM,^DJI,Energy,U.S.
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,Chevron Corp.,CVX,^DJI,Energy,U.S.
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,Procter & Gamble Co.,PG,^DJI,Consumer Goods,U.S.
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,Nike Inc. Cl B,NKE,^DJI,Consumer Goods,U.S.
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,Coca-Cola Co.,KO,^DJI,Consumer Goods,U.S.
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,American Express Co.,AXP,^DJI,Financial Services,U.S.
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,VISA Inc. Cl A,V,^DJI,Financial Services,U.S.
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,Goldman Sachs Group Inc.,GS,^DJI,Financial Services,U.S.
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,UnitedHealth Group Inc.,UNH,^DJI,Financial Services,U.S.
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,JPMorgan Chase & Co.,JPM,^DJI,Financial Services,U.S.
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,Travelers Cos. Inc.,TRV,^DJI,Financial Services,U.S.
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,Johnson & Johnson,JNJ,^DJI,Health Care/Life Sciences,U.S.
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,Merck & Co. Inc.,MRK,^DJI,Health Care/Life Sciences,U.S.
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,Pfizer Inc.,PFE,^DJI,Health Care/Life Sciences,U.S.
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,United Technologies Corp.,UTX,^DJI,Industrial Goods,U.S.
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,Caterpillar Inc.,CAT,^DJI,Industrial Goods,U.S.
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,Boeing Co.,BA,^DJI,Industrial Goods,U.S.
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,McDonald's Corp.,MCD,^DJI,Leisure/Arts/Hospitality,U.S.
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,Walt Disney Co.,DIS,^DJI,Media/Entertainment,U.S.
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,Home Depot Inc.,HD,^DJI,Retail/Wholesale,U.S.
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,Walgreens Boots Alliance Inc.,WBA,^IXIC,Retail/Wholesale,U.S.
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,Walmart Inc.,WMT,^DJI,Retail/Wholesale,U.S.
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,Intel Corp.,INTC,^DJI,Technology,U.S.
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,Microsoft Corp.,MSFT,^IXIC,Technology,U.S.
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,Cisco Systems Inc.,CSCO,^IXIC,Technology,U.S.
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,Apple Inc.,AAPL,^IXIC,Technology,U.S.
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,Verizon Communications Inc.,VZ,^DJI,Telecom,U.S.
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,New Oriental Education & Technology Group Inc. ADR,EDU,^DJI,Business/Consumer Services,China
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,China Petroleum & Chemical Corp. ADR,SNP,^DJI,Energy,China
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,PetroChina Co. Ltd. ADR,PTR,^DJI,Energy,China
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,China Life Insurance Co. Ltd. ADR,LFC,^DJI,Financial Services,China
US implemented universal tariffs on solar panel and washing machines imports,2018,2,7,Phoenix New Media Ltd. Cl A ADR,FENG,^DJI,Media/Entertainment,China
